ID;Municipio;Direccion;Longitud;Latitud;Rotulo;Rotulo2;Casos;Media;DesT;CVP;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31;Dia32;Dia33;Dia34;Dia35;Dia36;Dia37;Dia38;Dia39
1;CHURRA                   ;AUTOPISTA A7 (C.C. NUEVA CONDOMINA) KM. 730;-1.150056;38.041278;EROSKI;EROSKI;1;1.131692;0.021617;0.019101;1.139;1.139;1.139;1.159;1.155;1.209;1.159;1.149;1.149;1.159;1.149;1.159;1.149;1.139;1.139;1.139;1.139;1.139;1.139;1.119;1.119;1.109;1.109;1.104;1.104;1.115;1.105;1.105;1.105;1.119;1.119;1.119;1.129;1.129;1.115;1.115;1.115;1.116;1.119
2;MAZARRON                 ;AUTOPISTA AP-7 KM. 848;-1.366028;37.592722;GALP;GALP;1;1.248026;0.013861;0.011106;1.259;1.259;1.259;1.259;1.270;1.259;1.264;1.264;1.264;1.264;1.264;1.274;1.264;1.264;1.264;1.264;1.243;1.243;1.243;1.243;1.243;1.243;1.243;1.243;1.238;1.238;1.239;1.239;1.239;1.239;1.233;1.233;1.233;1.233;1.233;1.233;1.233;1.233;1.218
3;BAÑOS Y MENDIGO          ;AUTOVIA A.30 KM. 408.5;-1.136361;37.885444;REPSOL;REPSOL;1;1.180026;0.018919;0.016033;1.189;1.189;1.189;1.199;1.199;1.219;1.199;1.199;1.199;1.199;1.189;1.189;1.209;1.199;1.199;1.199;1.199;1.199;1.189;1.179;1.179;1.179;1.179;1.169;1.169;1.169;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.149;1.149
4;BALSAPINTADA             ;AUTOVIA A-30 KM. 172;-1.069333;37.767583;REPSOL;REPSOL;1;1.177846;0.021764;0.018478;1.189;1.189;1.189;1.199;1.199;1.104;1.199;1.199;1.199;1.199;1.189;1.189;1.209;1.209;1.209;1.199;1.199;1.199;1.189;1.179;1.179;1.179;1.179;1.169;1.169;1.169;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.149
5;JIMENADO                 ;AUTOVIA A-30 KM. 172;-1.068806;37.769000;REPSOL;REPSOL;1;1.179256;0.018465;0.015658;1.189;1.189;1.189;1.199;1.199;1.159;1.199;1.199;1.199;1.199;1.189;1.189;1.209;1.209;1.209;1.199;1.199;1.199;1.189;1.179;1.179;1.179;1.179;1.169;1.169;1.169;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.149
6;MURCIA ;AUTOVIA A-30 KM. 413.9;-1.106861;37.843167;CEPSA;CEPSA;1;1.184846;0.020949;0.017681;1.195;1.199;1.199;1.225;1.215;1.219;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.184;1.175;1.175;1.169;1.169;1.164;1.164;1.175;1.165;1.165;1.165;1.169;1.164;1.164;1.165;1.165;1.164;1.164;1.164;1.155;1.155
7;CAÑADA HERMOSA           ;AUTOVIA AUTOVIA DEL NOROESTE KM. 8;-1.337694;38.007389;REPSOL;REPSOL;1;1.160564;0.023728;0.020445;1.169;1.169;1.169;1.200;1.196;1.229;1.196;1.196;1.196;1.190;1.177;1.176;1.176;1.174;1.174;1.174;1.164;1.167;1.146;1.138;1.138;1.138;1.138;1.130;1.143;1.151;1.147;1.147;1.147;1.147;1.145;1.145;1.140;1.140;1.140;1.140;1.140;1.140;1.130
8;CAÑADA HERMOSA           ;AUTOVIA AUTOVIA DEL NOROESTE KM. 8;-1.338028;38.006639;REPSOL;REPSOL;1;1.160462;0.023439;0.020198;1.169;1.169;1.169;1.200;1.196;1.225;1.196;1.196;1.196;1.190;1.177;1.176;1.176;1.174;1.174;1.174;1.164;1.167;1.146;1.138;1.138;1.138;1.138;1.130;1.143;1.151;1.147;1.147;1.147;1.147;1.145;1.145;1.140;1.140;1.140;1.140;1.140;1.140;1.130
9;LIBRILLA                 ;AUTOVIA DEL MEDITERRANEO (A-7) KM. 638;-1.339583;37.892667;REPSOL;REPSOL;1;1.186897;0.026474;0.022305;1.200;1.200;1.200;1.231;1.227;1.087;1.227;1.227;1.227;1.220;1.208;1.207;1.207;1.204;1.204;1.204;1.194;1.197;1.176;1.169;1.169;1.169;1.169;1.161;1.173;1.182;1.178;1.178;1.178;1.178;1.176;1.176;1.171;1.171;1.171;1.171;1.171;1.171;1.160
10;MULA                     ;AUTOVIA DEL NOROESTE KM. 17;-1.416528;38.032722;TANAMIL;OTRO;1;1.110531;0.008526;0.007677;1.109;1.109;1.109;1.109;1.109;1.158;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109
