"","Codigo","Provincia","Municipio","Comarca","Tasainicial","LONGITUD_ETRS89","LATITUD_ETRS89","Indemnizacion","Valor_Prod","VIVO","Ind_VP2"
"1",35004,35,4,3,0,-13.5515188,28.96023609,0,18.05,1,0
"2",11035,11,35,5,0.036150926,-5.59945188,36.0189604,26115.24,2208356.7,12,0.0118256439279035
"3",11007,11,7,4,0.055121562,-5.91828263,36.19202922,18291.34,228229.26,12,0.0801445879463483
"4",11033,11,33,5,0.036150926,-5.38401377,36.20999986,0,38375.12,5,0
"5",11039,11,39,4,0.055121562,-5.97136125,36.2529047,160037.87,3264061.17,12,0.0490302913042527
"6",11014,11,14,2,0.063640369,-6.08856877,36.27458798,95052.6,1881124.24,12,0.0505296768702529
"7",11013,11,13,5,0.036150926,-5.42003,36.28605,0,607460.74,9,0
"8",11901,11,901,4,0.055121562,-5.81029559,36.3433179,25965.85,903117.95,12,0.0287513386263666
"9",11015,11,15,2,0.063640369,-6.14620494,36.41836916,437063.07,5394394.26,12,0.0810217141970635
"10",11021,11,21,5,0.036150926,-5.45548727,36.43225697,0,237604.14,6,0
"11",29041,29,41,3,0.066457079,-5.27383141,36.44276754,0,21469.48,1,0
"12",11023,11,23,4,0.055121562,-5.92469144,36.45604099,663733.24,9111774.7,12,0.0728434648411577
"13",11001,11,1,4,0.055121562,-5.72311956,36.46294815,127543.84,2613471.99,12,0.0488024514852367
"14",29056,29,56,2,0.034084986,-5.3148786,36.51729026,0,8199.5,2,0
"15",11025,11,25,4,0.055121562,-5.86591723,36.52313758,52787.48,417230.82,10,0.126518649796772
"16",11028,11,28,4,0.055121562,-6.19016115,36.52891282,349176.94,7626394.83,12,0.0457853216078507
"17",11027,11,27,1,0.086940806,-6.22915634,36.60012378,570795.71,5964852.24,12,0.0956931851844162
"18",11902,11,902,1,0.086940806,-5.80077309,36.60534292,344272.62,4853187.8,12,0.0709374197305944
"19",11030,11,30,2,0.063640369,-6.36315877,36.62011111,110064.29,956455.89,11,0.115075134306507
"20",29014,29,14,2,0.034084986,-5.20258909,36.6337735,0,53.76,1,0
"21",29021,29,21,2,0.034084986,-5.24535471,36.64036602,7.11,356.04,1,0.0199696663296259
"22",29008,29,8,3,0.066457079,-4.68702469,36.64510025,10397.64,40610.41,10,0.256033859298638
"23",11003,11,3,1,0.086940806,-5.65719916,36.65594556,1926.19,85983.63,7,0.0224018223003611
"24",29042,29,42,3,0.066457079,-4.75958685,36.65987005,211665.34,1263766.3,12,0.167487723007015
"25",29007,29,7,3,0.066457079,-4.5604509,36.66314911,14401.09,134758.81,10,0.106865666148284
"26",11020,11,20,1,0.086940806,-6.1287534,36.70212746,11125947.03,109895892.94,12,0.101240790100085
"27",29038,29,38,3,0.066457079,-4.63171653,36.71005782,57461.29,279918.84,10,0.205278394265995
"28",29028,29,28,2,0.034084986,-5.25372291,36.71871118,0,11863.04,2,0
"29",29067,29,67,3,0.066457079,-4.41997511,36.72034267,0,26336.68,3,0
"30",29013,29,13,3,0.066457079,-4.85529513,36.72826442,15607.1,142720.38,12,0.109354389331082
"31",29100,29,100,3,0.066457079,-4.92100984,36.73128747,0,981.44,1,0
"32",29074,29,74,2,0.034084986,-5.25172599,36.73390878,0,15711.58,1,0
