"","Cuant_Sinies","EDAD","ANTIGUEDAD","GENERO","INGRESOS","LONGITUD","LATITUD"
"1",248.08,25,6,1,709,-3.60584596763365,40.3459581647068
"2",329.01,67,2,1,2998,-3.53741916953586,40.6072269385215
"3",165.66,12,4,1,372,-3.61637866552919,40.5496997441398
"4",334.08,70,5,0,1551,-3.85994857733604,40.2863613638794
"5",294.36,35,2,0,1415,-3.45846865638159,40.5669429110596
"6",327.6,26,1,0,591,-3.89418772896752,40.3690084926086
"7",338.63,58,2,0,1215,-3.58152289756108,40.39374301075
"8",246.56,70,3,1,1576,-3.78405985909048,40.6583992867265
"9",358.85,44,3,0,3041,-3.67598927379586,40.2083038053708
"10",271.33,38,5,1,517,-3.50456734732725,40.5483010366326
"11",410.16,61,2,0,1387,-3.78897668325808,40.479282063595
"12",384.89,45,3,0,1370,-3.50523783077952,40.3277898668777
"13",280.04,56,4,0,982,-3.61720409940463,40.6791740959045
"14",283.94,41,3,1,838,-3.82895274225157,40.5447962342761
"15",282.63,45,5,0,2465,-3.43415399044752,40.6175330214202
"16",256.59,62,4,0,812,-3.82467777593993,40.3712533858372
"17",409.41,55,2,0,1997,-3.40692579348106,40.5708283784799
"18",357.15,47,1,0,620,-3.56706343356054,40.5756817369722
"19",307.48,34,5,0,475,-3.63948452854529,40.5115326929837
"20",332.02,40,2,0,1415,-3.46876285001636,40.5923993915087
"21",316.6,38,2,1,1639,-3.78264948118012,40.3191194503335
"22",240.78,29,4,1,508,-3.7247266394319,40.5142992854118
"23",308.16,45,5,0,1291,-3.61389681356959,40.5138863026397
"24",265.86,39,5,0,3216,-3.52913915654644,40.6136809484335
"25",381.59,48,2,0,1953,-3.67926822379231,40.5676300641382
"26",303,51,3,1,1119,-3.67787758596241,40.6457060800632
"27",256.3,54,7,1,773,-3.69691051540431,40.2709365587682
"28",366.5,36,0,0,1886,-3.60549273770303,40.2732224044623
"29",272.56,32,4,0,655,-3.72705224922393,40.6024173219223
"30",340.64,66,2,1,2639,-3.66622453844175,40.5645373234758
"31",316.79,21,2,0,2822,-3.46050393113401,40.5133594512474
"32",381.1,47,4,0,2344,-3.88491105181165,40.6690204600338
"33",342.22,45,2,0,1063,-3.88521099227946,40.373891303828
"34",224.7,7,4,0,261,-3.51127024481539,40.3785015435889
"35",381.79,51,2,0,1303,-3.5610018304782,40.414518771274
"36",152.99,20,6,1,795,-3.7649783199653,40.3366598919267
"37",203.01,39,3,0,2879,-3.59912058173213,40.6734209458111
"38",421.07,58,1,0,6738,-3.65798623031005,40.2892856774153
"39",354.83,67,2,0,1290,-3.64533497705124,40.3303924237145
"40",329.75,67,3,0,1121,-3.82082753253635,40.4897757849423
"41",300.38,31,3,0,527,-3.81879129118752,40.4817097696243
"42",345.43,43,4,0,1664,-3.41249354879837,40.3811534198932
"43",322.69,43,4,1,3812,-3.85170481409878,40.6967292875517
"44",389.75,50,3,0,1311,-3.89942381400615,40.321160437935
"45",287.54,26,5,0,1748,-3.82345616954844,40.4799428717699
"46",258.63,34,2,0,567,-3.4268529150635,40.6238030151464
"47",340.82,36,5,0,4617,-3.42986386301927,40.3544953364646
"48",220.77,30,6,1,971,-3.76549851612654,40.2200348075014
"49",305.26,57,6,1,950,-3.81542871121783,40.6352011053124
"50",336.01,60,3,0,996,-3.68928928426467,40.211953080073
"51",401.95,37,2,0,2638,-3.89301806476433,40.6189654465299
"52",424.72,47,3,0,930,-3.55388179407455,40.4823295916896
"53",236.34,-9,1,1,276,-3.83805277592037,40.2661583384499
"54",292.2,34,4,1,1290,-3.76962996749207,40.5246302532498
"55",351.63,44,3,1,2347,-3.54718699047808,40.3967947965022
"56",371.02,52,3,0,1673,-3.47822398492135,40.2320433678571
"57",255.96,35,5,0,861,-3.49184813918546,40.3469987716991
"58",428.94,42,2,0,5232,-3.76729492445011,40.342891384894
"59",324.21,42,4,0,1238,-3.53311453908682,40.3361354114488
"60",408.87,54,2,0,765,-3.75755515762139,40.3784429861
"61",289.83,48,2,1,3440,-3.58010033725295,40.6004341543186
"62",250.26,23,3,0,749,-3.75690492403228,40.4608491964638
"63",372.95,46,4,0,2206,-3.48802558702882,40.5954179742141
"64",457.1,55,1,0,3939,-3.55517159237061,40.2062148864381
"65",347.54,40,2,0,783,-3.86664032863919,40.3129393965239
"66",218.17,24,4,0,603,-3.74221772674937,40.3155907170614
"67",230.55,34,7,0,947,-3.65759064697195,40.3005747154122
"68",275.54,35,4,1,581,-3.68071037132759,40.5816344819497
"69",359.36,46,4,1,1473,-3.66429653458763,40.217298027873
"70",368.49,36,4,0,608,-3.53755178253632,40.3785912505584
"71",305.03,27,2,0,6390,-3.71853066163603,40.3306081694784
"72",306.5,31,5,0,1024,-3.81194617003202,40.5294221758842
"73",288.49,27,2,1,840,-3.74313712082803,40.323427192797
"74",293.45,43,3,0,2001,-3.84243018922862,40.4784115961986
"75",266.49,40,2,1,1631,-3.4773854914587,40.3478104367852
"76",459.11,45,3,0,1121,-3.6909439727664,40.4206739814719
"77",385.61,49,2,0,947,-3.47589628768619,40.294377278816
"78",184.22,20,4,1,528,-3.63758418427315,40.6056645758683
"79",313.35,42,1,0,3492,-3.66512948074378,40.3897696859669
